laestab,school_name,school_phase,year,total_pupils,fsm_taken
8163380,Wheldrake with Thorganby C.E. (Aided) School,Primary,2016,223,9999
8162240,Wigginton Primary School,Primary,2016,277,6
8162027,Woodthorpe Primary School,Primary,2016,427,30
8162015,Yearsley Grove Primary School,Primary,2016,393,55
8164703,York High School,Secondary,2016,757,77
8162000,Acomb Primary School,Primary,2017,292,8
8164702,All Saints RC School,Secondary,2017,1346,38
8167032,Applefields School,Special School,2017,139,31
8163229,Archbishop of York's CE Junior School,Primary,2017,251,7
8162386,Bishopthorpe Infant School,Primary,2017,174,9999
8162003,Carr Infant School,Primary,2017,298,21
8162002,Carr Junior School,Primary,2017,276,39
8162018,Clifton Green Primary School,Primary,2017,423,58
8162430,Clifton with Rawcliffe Primary School,Primary,2017,658,9
8162013,Copmanthorpe Primary School,Primary,2017,394,9999
8162007,Dringhouses Primary School,Primary,2017,289,7
8163151,Dunnington CE Primary School,Primary,2017,255,7
8163152,Elvington CE Primary School,Primary,2017,148,7
8162008,Fishergate Primary School,Primary,2017,296,18
8164153,Fulford,Secondary,2017,1384,33
8162241,Headlands Primary School,Primary,2017,299,8
8162028,Hob Moor Community Primary School,Primary,2017,330,38
8167033,Hob Moor Oaks School,Special School,2017,106,15
8164063,Huntington School,Secondary,2017,1473,41
8164508,Joseph Rowntree,Secondary,2017,1267,68
8162428,Lakeside Primary School,Primary,2017,279,22
8163158,Lord Deramores Primary School,Primary,2017,202,5
8163159,Naburn CE Primary School,Primary,2017,83,9999
8163901,New Earswick Primary School,Primary,2017,189,21
8162176,Osbaldwick Primary School,Primary,2017,333,39
8163904,Our Lady Queen of Martyrs Primary School,Primary,2017,447,20
8162012,Park Grove Primary School,Primary,2017,268,18
8162014,Poppleton Road Primary School,Primary,2017,386,34
8162058,Ralph Butterfield Primary School,Primary,2017,322,5
8162349,Rufforth Primary School,Primary,2017,96,7
8162169,Skelton Primary School,Primary,2017,75,8
8163401,St Aelred's RCVA Primary,Primary,2017,225,30
8163002,St Barnabas CE Primary School,Primary,2017,155,20
8163402,St Georges RC Primary School,Primary,2017,197,12
8163305,St Lawrences CE Primary School,Primary,2017,213,31
8163222,St Mary's CE Primary School,Primary,2017,119,9999
8163156,St Oswald's Primary School,Primary,2017,313,6
8163003,St Pauls CE Primary School,Primary,2017,172,8
8163403,St Wilfrid's Primary School,Primary,2017,262,7
8162227,Stockton-on-the-Forest Primary School,Primary,2017,93,9999
8162429,Tang Hall Primary School,Primary,2017,244,29
8162017,Westfield Primary Community School,Primary,2017,589,74
8163380,Wheldrake CE (Aided) School,Primary,2017,225,9999
8162240,Wigginton Primary School,Primary,2017,273,9999
8162027,Woodthorpe Primary School,Primary,2017,439,43
8162015,Yearsley Grove Primary School,Primary,2017,394,38
8164703,York High School,Secondary,2017,737,57
